Date,Inv No.,Bill No.,Bill Date,Party Name,ProjectNo,Item Name,Qty,Unit,Rate,CGST %,SGST %,IGST %,Net Amount,Total(QTY*Rate),Other taxable Charges(If Any),taxable Amt,CGST AMT,SGST AMT,IGST AMT,Total GST AMT,Final Discount,Round Off,Gross Amount
2024-03-01 00:00:00,AR/2324/1005          ,SE-23-24-0935            ,2024-02-29 00:00:00,Shah Enterprise                                   ,M1041                                                                                               ,3M Yellow Reflector                               ,1.0,rol   ,7590.0,,,18,4478.0,7590.0,,3795.0,,,683.1,683.1,-3795.0,-0.1,4478.1
2024-03-02 00:00:00,AR/2324/1006          ,AR/23-24/913             ,2024-02-28 00:00:00,SPAREAGE SEALING SOLUTIONS LLP                    ,Capital                                                                                             ,Guide Ring 75 x 79 x 20 MM                        ,4.0,nos   ,1105.0,,,18,19429.0,4420.0,,4088.5,,,735.93,735.93,-331.5,0.3,4824.43
02-03-2024,AR/2324/1006          ,AR/23-24/913             ,28-02-2024,SPAREAGE SEALING SOLUTIONS LLP                    ,Capital                                                                                             ,O-Ring ID 93 x 3 C/S                              ,4.0,nos   ,408.0,,,18,,1632.0,,1509.6,,,271.73,271.73,-122.4,0.3,1781.33
02-03-2024,AR/2324/1006          ,AR/23-24/913             ,28-02-2024,SPAREAGE SEALING SOLUTIONS LLP                    ,Capital                                                                                             ,Piston Seal 76 x 90 x 22.50/32.90 MM              ,4.0,nos   ,2323.0,,,18,,9292.0,,8595.1,,,1547.12,1547.12,-696.9,0.3,10142.22
02-03-2024,AR/2324/1006          ,AR/23-24/913             ,28-02-2024,SPAREAGE SEALING SOLUTIONS LLP                    ,Capital                                                                                             ,Rod Seal 75 x 85 x 13 MM                          ,4.0,nos   ,332.0,,,18,,1328.0,,1228.4,,,221.11,221.11,-99.6,0.3,1449.51
02-03-2024,AR/2324/1006          ,AR/23-24/913             ,28-02-2024,SPAREAGE SEALING SOLUTIONS LLP                    ,Capital                                                                                             ,Wiper Seal 75 x 85 x 7/10 MM                      ,4.0,nos   ,282.0,,,18,,1128.0,,1043.4,,,187.81,187.81,-84.6,0.3,1231.21
02-03-2024,AR/2324/1007          ,S09                      ,2024-02-29 00:00:00,Samay Engineering                                 ,M1040                                                                                               ,Roller Assembly Drg No : TOPL/CD/1600/001/09      ,180.0,nos   ,545.0,9,9,,259606.0,98100.0,,98100.0,8829.0,8829.0,,17658.0,,0.1,115758.0
02-03-2024,AR/2324/1007          ,S09                      ,29-02-2024,Samay Engineering                                 ,M1040                                                                                               ,Roller Assembly ROL3X562&A                        ,189.0,nos   ,645.0,9,9,,,121905.0,,121905.0,10971.45,10971.45,,21942.9,,0.1,143847.9
2024-03-04 00:00:00,AR/2324/1008          ,PE104/23-24              ,2024-03-04 00:00:00,Pioneer Engineers                                 ,M1040                                                                                               ,Cross Member Fabrication Drg TOPL-CD-1600-003     ,12.0,nos   ,5443.0,9,9,,568760.0,65316.0,,65316.0,5878.44,5878.44,,11756.88,,,77072.88
04-03-2024,AR/2324/1008          ,PE104/23-24              ,04-03-2024,Pioneer Engineers                                 ,M1040                                                                                               ,Frame Assembly Drg TOPL-CD-1600-004A              ,12.0,nos   ,10167.0,9,9,,,122004.0,,122004.0,10980.36,10980.36,,21960.72,,,143964.72
